video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_26,duration_sec,popular,definition
BzABXW1wdOc,보름 나 물의 대표 시래기 나물 볶음 촉촉하고 맛있게 만드는 방법 심방 골 주부,99576,심방골주부|심방골주부요리|한식|집밥|레시피|황금레시피|recipe|korean food|반찬|음식|보름나물|정월대보름|시래기|시래기나물|시래기나물볶음,0,757000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,415,0,1
ef6jJYJfxXY,질 지 않게 누구 나 성공 OO 은 안 불려요 최고 의 오곡밥 이 것 이 대박 비법,252734,밑반찬|국요리|반찬요리|레시피|오늘의레시피|딸을위한레시피|백종원|김수미|집밥레시피|찌개|손님상차림|손님초대요리|초대|asmr|반찬|하루한끼|브이로그|vlog|먹방|랜선집들이|일상브이로그|일상vlog|엄마|엄마집밥|엄마손|브이로그일상|브이로그먹방|브이로그집들이|asianfood|koreanfood|healthyrecipe|koreanrecipe|asianrecipe|kimchi|mukbang|맛있게만드는방법|맛있게만드는법|이남자의쿡|윤이련|함께해요|맛나요리|양장금|엄마의손맛|집반찬|집밥|간단요리|쉬운요리|빠른요리|요리초보|자취|자취요리,0,1030000,2,9,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,511,0,1
N8_3gbjsx_E,오곡밥 힘들게 하지 마세요 이 방법 은 맛있는 찰밥 만들기 1등 레시피 입니다,655776,오곡밥|찰밥|오곡밥 만들기|찰밥 만들기|오곡밥 레시피|찰밥 레시피|오곡밥 만드는법|오곡밥 찌는법|오곡밥 비율|오곡밥 맛있게 하는법|오곡밥 맛있게 만들기|오곡밥 맛있게 하는 방법|정월 대보름 오곡밥 만들기|전기밥솥 오곡밥 만들기|압력솥 오곡밥 만들기|찹쌀 오곡밥 만드는법|오곡밥 전기밥솥|오곡밥 압력밥솥|오곡밥 맛있게 만드는법|찰밥 전기밥솥|찰밥 압력밥솥|찰밥맛있게하는법|찰밥맛있게찌는법|찰밥 맛있게 하는 방법|찰밥찌는법|찰밥 팥삶기|찰밥만드는법|찰밥 찌는 방법|찰밥 찌기|찰밥 물 비율|찰밥 맛있게 찌는법|맛있는 찰밥 만들기|한식|한식 레시피|맛있는 한식 레시피|맛있는 한식 추천|보름음식|명절음식|명절음식 만들기|집밥 레시피|맛있는 집밥|맛있는 집밥 만들기|맛있는 집밥 요리|간단한 밥요리|엄마의손맛 찰밥|엄마의손맛 오곡밥|엄마손맛|엄마의손맛|엄마의손맛요리,0,1600000,2,8,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,1021,1,1
FcA03hCROJ4,요즘 이 거 먹느라 떡국 떡 이 남아나질 않습니다 한번 먹으면 자꾸 생각나는 맛있는 떡국 떡 요리 3 가지 강쉪 강쉪,156045,떡국떡요리|떡국떡레시피|김치떡국|어묵떡국|떡국떡맛탕.맛탕만드는법|떡국떡 간식|김치떡국만들기|김치떡국끓이기|강쉪,0,737000,2,13,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,1,542,0,1
BzABXW1wdOc,보름 나 물의 대표 시래기 나물 볶음 촉촉하고 맛있게 만드는 방법 심방 골 주부,100743,심방골주부|심방골주부요리|한식|집밥|레시피|황금레시피|recipe|korean food|반찬|음식|보름나물|정월대보름|시래기|시래기나물|시래기나물볶음,0,757000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,415,0,1
ef6jJYJfxXY,질 지 않게 누구 나 성공 OO 은 안 불려요 최고 의 오곡밥 이 것 이 대박 비법,254466,밑반찬|국요리|반찬요리|레시피|오늘의레시피|딸을위한레시피|백종원|김수미|집밥레시피|찌개|손님상차림|손님초대요리|초대|asmr|반찬|하루한끼|브이로그|vlog|먹방|랜선집들이|일상브이로그|일상vlog|엄마|엄마집밥|엄마손|브이로그일상|브이로그먹방|브이로그집들이|asianfood|koreanfood|healthyrecipe|koreanrecipe|asianrecipe|kimchi|mukbang|맛있게만드는방법|맛있게만드는법|이남자의쿡|윤이련|함께해요|맛나요리|양장금|엄마의손맛|집반찬|집밥|간단요리|쉬운요리|빠른요리|요리초보|자취|자취요리,0,1030000,2,9,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,511,0,1
N8_3gbjsx_E,오곡밥 힘들게 하지 마세요 이 방법 은 맛있는 찰밥 만들기 1등 레시피 입니다,657005,오곡밥|찰밥|오곡밥 만들기|찰밥 만들기|오곡밥 레시피|찰밥 레시피|오곡밥 만드는법|오곡밥 찌는법|오곡밥 비율|오곡밥 맛있게 하는법|오곡밥 맛있게 만들기|오곡밥 맛있게 하는 방법|정월 대보름 오곡밥 만들기|전기밥솥 오곡밥 만들기|압력솥 오곡밥 만들기|찹쌀 오곡밥 만드는법|오곡밥 전기밥솥|오곡밥 압력밥솥|오곡밥 맛있게 만드는법|찰밥 전기밥솥|찰밥 압력밥솥|찰밥맛있게하는법|찰밥맛있게찌는법|찰밥 맛있게 하는 방법|찰밥찌는법|찰밥 팥삶기|찰밥만드는법|찰밥 찌는 방법|찰밥 찌기|찰밥 물 비율|찰밥 맛있게 찌는법|맛있는 찰밥 만들기|한식|한식 레시피|맛있는 한식 레시피|맛있는 한식 추천|보름음식|명절음식|명절음식 만들기|집밥 레시피|맛있는 집밥|맛있는 집밥 만들기|맛있는 집밥 요리|간단한 밥요리|엄마의손맛 찰밥|엄마의손맛 오곡밥|엄마손맛|엄마의손맛|엄마의손맛요리,0,1600000,2,8,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,1021,1,1
FcA03hCROJ4,요즘 이 거 먹느라 떡국 떡 이 남아나질 않습니다 한번 먹으면 자꾸 생각나는 맛있는 떡국 떡 요리 3 가지 강쉪 강쉪,177760,떡국떡요리|떡국떡레시피|김치떡국|어묵떡국|떡국떡맛탕.맛탕만드는법|떡국떡 간식|김치떡국만들기|김치떡국끓이기|강쉪,0,737000,2,13,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,1,542,0,1
BzABXW1wdOc,보름 나 물의 대표 시래기 나물 볶음 촉촉하고 맛있게 만드는 방법 심방 골 주부,100892,심방골주부|심방골주부요리|한식|집밥|레시피|황금레시피|recipe|korean food|반찬|음식|보름나물|정월대보름|시래기|시래기나물|시래기나물볶음,0,757000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,415,0,1
ef6jJYJfxXY,질 지 않게 누구 나 성공 OO 은 안 불려요 최고 의 오곡밥 이 것 이 대박 비법,254784,밑반찬|국요리|반찬요리|레시피|오늘의레시피|딸을위한레시피|백종원|김수미|집밥레시피|찌개|손님상차림|손님초대요리|초대|asmr|반찬|하루한끼|브이로그|vlog|먹방|랜선집들이|일상브이로그|일상vlog|엄마|엄마집밥|엄마손|브이로그일상|브이로그먹방|브이로그집들이|asianfood|koreanfood|healthyrecipe|koreanrecipe|asianrecipe|kimchi|mukbang|맛있게만드는방법|맛있게만드는법|이남자의쿡|윤이련|함께해요|맛나요리|양장금|엄마의손맛|집반찬|집밥|간단요리|쉬운요리|빠른요리|요리초보|자취|자취요리,0,1030000,2,9,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,511,0,1
