video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_20,duration_sec,popular,definition
67iFc973HhY,원 경 12 화 동생 이 죽어가는 와중 에도 사냥 나간 세자 철 없는 아들 을 보며 결국 뚜껑 열린 이방원 의 결단 갓 구 운 클립,462842,tvN|더글로리|드라마 원경|마인|방원|사극|사극 드라마|성스러운 아이돌|세작|원경|원경 12화|원경 이성민|원경11화|월화 드라마|이성민|이시아|이이담|이현욱|이현욱 신작|차주영|차주영 신작|치즈인더트랩|키마이라|티비엔|티비엔 원경|티빙에서스트리밍,0,5220000,2,11,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1,867,0,1
FTglSvJdWGM,빛 이 가리키는 길 비스트 이스트 대륙 EP 8 업데이트,226136,NoTag,0,394000,2,10,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,211,0,1
cBOTQS9Xlr8,6년 만에 정상화 되는 사막 검 방패 마인크래프트 1 22 대자연 업데이트 체험 하기,387391,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트,0,363000,2,7,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,406,0,1
cBOTQS9Xlr8,6년 만에 정상화 되는 사막 검 방패 마인크래프트 1 22 대자연 업데이트 체험 하기,391028,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트,0,363000,2,7,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,406,0,1
cBOTQS9Xlr8,6년 만에 정상화 되는 사막 검 방패 마인크래프트 1 22 대자연 업데이트 체험 하기,391673,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트,0,363000,2,7,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,406,0,1
cBOTQS9Xlr8,6년 만에 정상화 되는 사막 검 방패 마인크래프트 1 22 대자연 업데이트 체험 하기,393775,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트,0,363000,2,7,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,406,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,468661,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,586162,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,665022,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
hmCaiqvxKlI,야 좀 절 어 봐 안 들키게 삼 대오 컨텐츠 리그 오브 레전드,240130,#t1|#wolf|#울프|#롤|#리그오브레전드|#서포터|#이재완|#아자방,0,65000,2,17,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,1490,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,717496,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
hmCaiqvxKlI,야 좀 절 어 봐 안 들키게 삼 대오 컨텐츠 리그 오브 레전드,274901,#t1|#wolf|#울프|#롤|#리그오브레전드|#서포터|#이재완|#아자방,0,65000,2,17,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,1490,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,750839,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
hmCaiqvxKlI,야 좀 절 어 봐 안 들키게 삼 대오 컨텐츠 리그 오브 레전드,296473,#t1|#wolf|#울프|#롤|#리그오브레전드|#서포터|#이재완|#아자방,0,65000,2,17,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,1490,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,771006,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
hmCaiqvxKlI,야 좀 절 어 봐 안 들키게 삼 대오 컨텐츠 리그 오브 레전드,314805,#t1|#wolf|#울프|#롤|#리그오브레전드|#서포터|#이재완|#아자방,0,65000,2,17,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,1490,0,1
1yIcdMatP-Q,마우스 안 쓰고 마인크래프트 클리어,786696,NoTag,0,483000,2,15,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,1563,1,1
C44fToCLDu8,브롤 토크 역대 최고 의 브 롤러 브롤 스타즈,156029,브롤스타즈|슈퍼셀|브롤|brawlstars|supercell|yt:cc=on,1,622000,2,23,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,1,609,0,1
mKl_Hwlq6Nk,14년 만에 정상화 되는 스폰알 마인크래프트 1 22 편의 성 업데이트 체험 하기,252808,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트|스폰알 업데이트|생성 알 업데이트,0,363000,2,21,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,387,0,1
hmCaiqvxKlI,야 좀 절 어 봐 안 들키게 삼 대오 컨텐츠 리그 오브 레전드,331982,#t1|#wolf|#울프|#롤|#리그오브레전드|#서포터|#이재완|#아자방,0,65000,2,17,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,1490,0,1
C44fToCLDu8,브롤 토크 역대 최고 의 브 롤러 브롤 스타즈,196746,브롤스타즈|슈퍼셀|브롤|brawlstars|supercell|yt:cc=on,1,622000,2,23,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,1,609,0,1
mKl_Hwlq6Nk,14년 만에 정상화 되는 스폰알 마인크래프트 1 22 편의 성 업데이트 체험 하기,270961,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트|스폰알 업데이트|생성 알 업데이트,0,363000,2,21,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,387,0,1
C44fToCLDu8,브롤 토크 역대 최고 의 브 롤러 브롤 스타즈,253657,브롤스타즈|슈퍼셀|브롤|brawlstars|supercell|yt:cc=on,1,622000,2,23,0.2588190451025207,0.9659258262890684,-0.7818314824680299,0.6234898018587334,1,609,0,1
mKl_Hwlq6Nk,14년 만에 정상화 되는 스폰알 마인크래프트 1 22 편의 성 업데이트 체험 하기,281731,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트|스폰알 업데이트|생성 알 업데이트,0,363000,2,21,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,387,0,1
mKl_Hwlq6Nk,14년 만에 정상화 되는 스폰알 마인크래프트 1 22 편의 성 업데이트 체험 하기,289918,마인크래프트|마인크래프트 1.22|마인크래프트 크리킹|마인크래프트 공포|minecraft 1.22|minecraft ender update|마인크래프트 엔더 업데이트|마인크래프트 신규몹|마인크래프트 김만덕|마인크래프트 업데이트|업데이트|자연 업데이트|마인크래프트 계절|계절 업데이트|스폰알 업데이트|생성 알 업데이트,0,363000,2,21,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1,387,0,1
F--XZqBjhFc,공식 Pok mon Presents 2025 2 27,150327,NoTag,0,253000,2,27,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,1,1156,0,1
8YSTbg9MGT8,공식 Pok mon LEGENDS Z A 2 nd Trailer,129221,NoTag,0,253000,2,27,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,1,302,0,1
F--XZqBjhFc,공식 Pok mon Presents 2025 2 27,166742,NoTag,0,253000,2,27,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,1,1156,0,1
8YSTbg9MGT8,공식 Pok mon LEGENDS Z A 2 nd Trailer,159889,NoTag,0,253000,2,27,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419,1,302,0,1
xe0XALegbxg,신작 좋은 커피 위대한 커피 출시 바로 다운 받아 봤습니다,485507,혜안,0,2820000,3,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1,2084,0,1
