video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_15,duration_sec,popular,definition
c7Ti_dIsFiw,백 희 임시 보호 시작 합니다,212757,멈무|댕댕이|제주|제주 살이|강아지|여집사|남집사|제주도 들개|제주 들개|들개|들개 새끼|제주 떠돌이개|유기견|떠돌이개|새끼 강아지|dog|중형견|똥개|똥강아지|시고르자브종|시골잡종|똥강새이|똥강생이|돌똥개|임시보호|임보|또 임보|드루이드|드루이드 부부|진도믹스|믹스견|임시 보호|대형견|제주도 대형견|제주도 유기견|제주 유기견|나랭아치|소중한 생명|사지말고 입양|반려견|개인 구조|개인 구조자|마당있는 집|강아지 임신|구조견 임신|임신한 강아지|만삭 강아지|백구,1,146000,3,17,0.258819045102521,-0.9659258262890682,0.0,1.0,1,1331,0,1
oVQEs5vwuOM,길 에서 만삭 인 강아지 를 만났습니다,603608,멈무|댕댕이|제주|제주 살이|강아지|여집사|남집사|제주도 들개|제주 들개|들개|들개 새끼|제주 떠돌이개|유기견|떠돌이개|새끼 강아지|dog|중형견|똥개|똥강아지|시고르자브종|시골잡종|똥강새이|똥강생이|돌똥개|임시보호|임보|또 임보|드루이드|드루이드 부부|진도믹스|믹스견|임시 보호|대형견|제주도 대형견|제주도 유기견|제주 유기견|나랭아치|소중한 생명|사지말고 입양|반려견|개인 구조|개인 구조자|마당있는 집|강아지 임신|구조견 임신|임신한 강아지|만삭 강아지|백구,1,146000,3,15,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,1,1389,0,1
R8hF8I7AjY4,할머니 가 단돈 5만원 에 데려온 개 알 고 보니 천재견 이다 I KBS 반려동물 극장 단짝 20150525 방송,928175,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,3,24,1.2246467991473532e-16,-1.0,0.0,1.0,1,1184,1,1
R8hF8I7AjY4,할머니 가 단돈 5만원 에 데려온 개 알 고 보니 천재견 이다 I KBS 반려동물 극장 단짝 20150525 방송,1184624,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,3,24,1.2246467991473532e-16,-1.0,0.0,1.0,1,1184,1,1
R8hF8I7AjY4,할머니 가 단돈 5만원 에 데려온 개 알 고 보니 천재견 이다 I KBS 반려동물 극장 단짝 20150525 방송,1452531,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,3,24,1.2246467991473532e-16,-1.0,0.0,1.0,1,1184,1,1
R8hF8I7AjY4,할머니 가 단돈 5만원 에 데려온 개 알 고 보니 천재견 이다 I KBS 반려동물 극장 단짝 20150525 방송,1729404,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,3,24,1.2246467991473532e-16,-1.0,0.0,1.0,1,1184,1,1
R8hF8I7AjY4,할머니 가 단돈 5만원 에 데려온 개 알 고 보니 천재견 이다 I KBS 반려동물 극장 단짝 20150525 방송,1959273,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,3,24,1.2246467991473532e-16,-1.0,0.0,1.0,1,1184,1,1
Rd8HcEnO1qU,새롭 동물농장 척 하면 척 개인 기만 무려 40 가지 이상 환상 의 궁합 을 자랑 하는 한솔 씨 와 천재견 토리 EP 1217 TV 동물농장 AnimalFarm SBSstory,164865,SBS|SBSStory|SBS스토리|교양|스브스스토리|TV동물농장|동물농장|aniaml|animalfarm|신동엽|정선희|조이|동물|새롭동물농장|새롭동|신작|동물농장신작|동물농장 다시보기|동물농장 1217회|개|강아지|천재견|토리|유튜버|원샷한솔|OneshotHanso|김한솔|@OneshotHansol|소통천재|개인기천재|반려견|시각장애|보조견|안내견,0,1860000,4,7,1.2246467991473532e-16,-1.0,0.0,1.0,1,897,0,1
nof2C9BtT2I,개장 수로 부터 겨우 데려온 강아지 은혜 를 아는 천재견 이었다 I KBS 동물 극장 단짝 230114 방송,639254,애니멀포유|animal4u|kbs동물|동물채널|강아지|고양이|사자|백호|늑대|dog|cat|개는 훌륭하다|개훌륭|강형욱|개는 훌륭하다 강형욱|aggressive dog|개훌륭 역대급|주주클럽|스펀지|단짝|동물다큐|야생동물|동물 다큐멘터리|골든 레트리버|포메라니안|보더콜리|사파리|애니멀봐|댕댕이|동물|귀여움|kbs|무한리필샐러드|추천|멧돼지|멧돼지할아버지|악어|멧돼지아저씨|애니멀포유멧돼지|신기|오랑이|오랑우탄|보라|위기탈출넘버원|위탈넘|햄스터|동물실험,0,1530000,4,7,-0.9659258262890684,0.2588190451025203,0.0,1.0,1,1818,1,1
Rd8HcEnO1qU,새롭 동물농장 척 하면 척 개인 기만 무려 40 가지 이상 환상 의 궁합 을 자랑 하는 한솔 씨 와 천재견 토리 EP 1217 TV 동물농장 AnimalFarm SBSstory,254796,SBS|SBSStory|SBS스토리|교양|스브스스토리|TV동물농장|동물농장|aniaml|animalfarm|신동엽|정선희|조이|동물|새롭동물농장|새롭동|신작|동물농장신작|동물농장 다시보기|동물농장 1217회|개|강아지|천재견|토리|유튜버|원샷한솔|OneshotHanso|김한솔|@OneshotHansol|소통천재|개인기천재|반려견|시각장애|보조견|안내견,0,1860000,4,7,1.2246467991473532e-16,-1.0,0.0,1.0,1,897,0,1
