video_id,title,views,tags,caption_available,subscriber_count,pub_month,pub_day,pub_hour_sin,pub_hour_cos,pub_weekday_sin,pub_weekday_cos,cat_17,duration_sec,popular,definition
TkV-P2QVBs4,16년 만에 성사 된 만능 엔터테이너 들 의 당구 대결 임하룡 VS 김광규 1 1 매치,127984,임하룡|임하룡 당구|임하룡 당구 실력|임하룡 이수근|임하룡 스포츠|임하룡 당구 3구|임하룡 연예인 당구|임하룡 개그 당구|임하룡 유행어|김광규|김광규 이수근|김광규 당구|김광규 당구 실력|김광규 3구|김광규 4구|김광규 유행어|김광규 연예인 당구|이수근 임하룡 당구|이수근 김광규 당구|임하룡 김광규 당구|임하룡 김광규 당구 실력|레전드|레전드 대결|레전드의 귀환|당구 기초|당구 꿀팁|당구 기본|당구 초보|당구 시합|당구 게임|당구 키스|당구 앞돌|3구 강좌|3구 잘치는법|3구 기초|3구 대결|3구 대회|3구 스킬|3구 경기|3cushion|당구|연예인 당구|개그맨 당구|이수근 채널|이수근 유튜브|이수근 당구|이수근 취미 당구|이수근 유튭|이수근 모음|이수근|개그맨 이수근|이수근 개그맨|이숫근|익수근|이숙ㄱ근|dltnrms,0,532000,2,12,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,1,1317,0,1
KDorKy-13ak,Kendrick Lamar s Apple Music Super Bowl Halftime Show,51987120,NFL|Football|American Football|sport|sports,0,15400000,2,10,1.2246467991473532e-16,-1.0,0.0,1.0,1,801,1,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,470827,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
5ncwC1bjqFk,하얼빈 AG 대한민국 피겨 의 새 역사 금메달 차준 환 김예림 피겨 스케이팅 남자 싱글 시상식 하얼빈 동계 아시안 게임 피겨,100226,KBS|스포츠|금메달|시상식|차준환|피겨|김연아|프리|김예림,0,367000,2,13,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,1,229,0,1
ujTV78OfPdk,솥 뚜껑 삼겹살 1 KG 에 순두부 열라면 3 봉지 조합 미쳤습니다,237905,운동|헬스|다이어트|벌크업|지피티|운동유튜버|먹방|말왕|권혁|피지컬갤러리|짐종국|동기부여|라면|핏블리|김종국|턱걸이|챌린지|피지컬100|피지컬|쇼미더바디|보디빌딩|챗지피티|GPT|마선호|랭킹닭컴|맛있닭|잇메이트|이상호|김민교|아프리카TV|이적생|이적|김봉준|와꾸대장봉준|감스트|파트너bj|먹방유튜버|치킨|스테이씨,0,897000,2,13,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,740,0,1
TkV-P2QVBs4,16년 만에 성사 된 만능 엔터테이너 들 의 당구 대결 임하룡 VS 김광규 1 1 매치,172055,임하룡|임하룡 당구|임하룡 당구 실력|임하룡 이수근|임하룡 스포츠|임하룡 당구 3구|임하룡 연예인 당구|임하룡 개그 당구|임하룡 유행어|김광규|김광규 이수근|김광규 당구|김광규 당구 실력|김광규 3구|김광규 4구|김광규 유행어|김광규 연예인 당구|이수근 임하룡 당구|이수근 김광규 당구|임하룡 김광규 당구|임하룡 김광규 당구 실력|레전드|레전드 대결|레전드의 귀환|당구 기초|당구 꿀팁|당구 기본|당구 초보|당구 시합|당구 게임|당구 키스|당구 앞돌|3구 강좌|3구 잘치는법|3구 기초|3구 대결|3구 대회|3구 스킬|3구 경기|3cushion|당구|연예인 당구|개그맨 당구|이수근 채널|이수근 유튜브|이수근 당구|이수근 취미 당구|이수근 유튭|이수근 모음|이수근|개그맨 이수근|이수근 개그맨|이숫근|익수근|이숙ㄱ근|dltnrms,0,532000,2,12,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,1,1317,0,1
KDorKy-13ak,Kendrick Lamar s Apple Music Super Bowl Halftime Show,55967900,NFL|Football|American Football|sport|sports,0,15400000,2,10,1.2246467991473532e-16,-1.0,0.0,1.0,1,801,1,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,502174,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
5ncwC1bjqFk,하얼빈 AG 대한민국 피겨 의 새 역사 금메달 차준 환 김예림 피겨 스케이팅 남자 싱글 시상식 하얼빈 동계 아시안 게임 피겨,104105,KBS|스포츠|금메달|시상식|차준환|피겨|김연아|프리|김예림,0,367000,2,13,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,1,229,0,1
ujTV78OfPdk,솥 뚜껑 삼겹살 1 KG 에 순두부 열라면 3 봉지 조합 미쳤습니다,260365,운동|헬스|다이어트|벌크업|지피티|운동유튜버|먹방|말왕|권혁|피지컬갤러리|짐종국|동기부여|라면|핏블리|김종국|턱걸이|챌린지|피지컬100|피지컬|쇼미더바디|보디빌딩|챗지피티|GPT|마선호|랭킹닭컴|맛있닭|잇메이트|이상호|김민교|아프리카TV|이적생|이적|김봉준|와꾸대장봉준|감스트|파트너bj|먹방유튜버|치킨|스테이씨,0,897000,2,13,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,740,0,1
TkV-P2QVBs4,16년 만에 성사 된 만능 엔터테이너 들 의 당구 대결 임하룡 VS 김광규 1 1 매치,175808,임하룡|임하룡 당구|임하룡 당구 실력|임하룡 이수근|임하룡 스포츠|임하룡 당구 3구|임하룡 연예인 당구|임하룡 개그 당구|임하룡 유행어|김광규|김광규 이수근|김광규 당구|김광규 당구 실력|김광규 3구|김광규 4구|김광규 유행어|김광규 연예인 당구|이수근 임하룡 당구|이수근 김광규 당구|임하룡 김광규 당구|임하룡 김광규 당구 실력|레전드|레전드 대결|레전드의 귀환|당구 기초|당구 꿀팁|당구 기본|당구 초보|당구 시합|당구 게임|당구 키스|당구 앞돌|3구 강좌|3구 잘치는법|3구 기초|3구 대결|3구 대회|3구 스킬|3구 경기|3cushion|당구|연예인 당구|개그맨 당구|이수근 채널|이수근 유튜브|이수근 당구|이수근 취미 당구|이수근 유튭|이수근 모음|이수근|개그맨 이수근|이수근 개그맨|이숫근|익수근|이숙ㄱ근|dltnrms,0,532000,2,12,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,1,1317,0,1
KDorKy-13ak,Kendrick Lamar s Apple Music Super Bowl Halftime Show,57827062,NFL|Football|American Football|sport|sports,0,15400000,2,10,1.2246467991473532e-16,-1.0,0.0,1.0,1,801,1,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,600365,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
ujTV78OfPdk,솥 뚜껑 삼겹살 1 KG 에 순두부 열라면 3 봉지 조합 미쳤습니다,314423,운동|헬스|다이어트|벌크업|지피티|운동유튜버|먹방|말왕|권혁|피지컬갤러리|짐종국|동기부여|라면|핏블리|김종국|턱걸이|챌린지|피지컬100|피지컬|쇼미더바디|보디빌딩|챗지피티|GPT|마선호|랭킹닭컴|맛있닭|잇메이트|이상호|김민교|아프리카TV|이적생|이적|김봉준|와꾸대장봉준|감스트|파트너bj|먹방유튜버|치킨|스테이씨,0,897000,2,13,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,740,0,1
KDorKy-13ak,Kendrick Lamar s Apple Music Super Bowl Halftime Show,60178799,NFL|Football|American Football|sport|sports,0,15400000,2,10,1.2246467991473532e-16,-1.0,0.0,1.0,1,801,1,1
TkV-P2QVBs4,16년 만에 성사 된 만능 엔터테이너 들 의 당구 대결 임하룡 VS 김광규 1 1 매치,192768,임하룡|임하룡 당구|임하룡 당구 실력|임하룡 이수근|임하룡 스포츠|임하룡 당구 3구|임하룡 연예인 당구|임하룡 개그 당구|임하룡 유행어|김광규|김광규 이수근|김광규 당구|김광규 당구 실력|김광규 3구|김광규 4구|김광규 유행어|김광규 연예인 당구|이수근 임하룡 당구|이수근 김광규 당구|임하룡 김광규 당구|임하룡 김광규 당구 실력|레전드|레전드 대결|레전드의 귀환|당구 기초|당구 꿀팁|당구 기본|당구 초보|당구 시합|당구 게임|당구 키스|당구 앞돌|3구 강좌|3구 잘치는법|3구 기초|3구 대결|3구 대회|3구 스킬|3구 경기|3cushion|당구|연예인 당구|개그맨 당구|이수근 채널|이수근 유튜브|이수근 당구|이수근 취미 당구|이수근 유튭|이수근 모음|이수근|개그맨 이수근|이수근 개그맨|이숫근|익수근|이숙ㄱ근|dltnrms,0,532000,2,12,-1.0,-1.8369701987210287e-16,0.9749279121818236,-0.2225209339563143,1,1317,0,1
5ncwC1bjqFk,하얼빈 AG 대한민국 피겨 의 새 역사 금메달 차준 환 김예림 피겨 스케이팅 남자 싱글 시상식 하얼빈 동계 아시안 게임 피겨,109287,KBS|스포츠|금메달|시상식|차준환|피겨|김연아|프리|김예림,0,367000,2,13,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,1,229,0,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,751089,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
7FYFoLg_6Ss,금메달 믹스 트존 환호 차준 환 어떤 결과 나 와도 상관없었는데 하얼빈 동계 아시안 게임,757043,동계아시안게임|하얼빈아시안게임|김연아|피겨스케이팅|남자피겨|일본|한국|차준환금메달|동계아시안게임금메달,0,1380000,2,14,0.0,1.0,-0.433883739117558,-0.9009688679024191,1,320,0,1
ujTV78OfPdk,솥 뚜껑 삼겹살 1 KG 에 순두부 열라면 3 봉지 조합 미쳤습니다,403923,운동|헬스|다이어트|벌크업|지피티|운동유튜버|먹방|말왕|권혁|피지컬갤러리|짐종국|동기부여|라면|핏블리|김종국|턱걸이|챌린지|피지컬100|피지컬|쇼미더바디|보디빌딩|챗지피티|GPT|마선호|랭킹닭컴|맛있닭|잇메이트|이상호|김민교|아프리카TV|이적생|이적|김봉준|와꾸대장봉준|감스트|파트너bj|먹방유튜버|치킨|스테이씨,0,897000,2,13,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,740,0,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,838894,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
7FYFoLg_6Ss,금메달 믹스 트존 환호 차준 환 어떤 결과 나 와도 상관없었는데 하얼빈 동계 아시안 게임,790690,동계아시안게임|하얼빈아시안게임|김연아|피겨스케이팅|남자피겨|일본|한국|차준환금메달|동계아시안게임금메달,0,1380000,2,14,0.0,1.0,-0.433883739117558,-0.9009688679024191,1,320,0,1
ujTV78OfPdk,솥 뚜껑 삼겹살 1 KG 에 순두부 열라면 3 봉지 조합 미쳤습니다,487971,운동|헬스|다이어트|벌크업|지피티|운동유튜버|먹방|말왕|권혁|피지컬갤러리|짐종국|동기부여|라면|핏블리|김종국|턱걸이|챌린지|피지컬100|피지컬|쇼미더바디|보디빌딩|챗지피티|GPT|마선호|랭킹닭컴|맛있닭|잇메이트|이상호|김민교|아프리카TV|이적생|이적|김봉준|와꾸대장봉준|감스트|파트너bj|먹방유튜버|치킨|스테이씨,0,897000,2,13,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,740,0,1
HSJ6bC8kso4,하얼빈 AG 39년 의 기다림 대 역전 극 금메달 차준 환 차준 환 김예림 피겨 스케이팅 남자 싱글 프리스케이팅 하얼빈 동계 아시안 게임 피겨,900157,KBS|스포츠|피겨|금메달|차준환|김연아|figure|skating|최초,0,367000,2,13,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,309,0,1
